DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_JOIN,DEST_WTH_JOIN,ORGIN_WTH_name,ORGIN_WTH_datetime,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_dew,ORGIN_WTH_humidity,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_snowdepth,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_sealevelpressure,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_solarradiation,ORGIN_WTH_solarenergy,ORGIN_WTH_uvindex,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,ORGIN_WTH_icon,ORGIN_WTH_stations,DEST_WTH_name,DEST_WTH_datetime,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_dew,DEST_WTH_humidity,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_snowdepth,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_sealevelpressure,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_solarradiation,DEST_WTH_solarenergy,DEST_WTH_uvindex,DEST_WTH_severerisk,DEST_WTH_conditions,DEST_WTH_icon,DEST_WTH_stations
1,AA,OO,3253,ORD,SYR,1518.0,-13.0,0,0,N,607,,,,0,,2022-01-10 12:40:00,2022-01-10 15:31:00,2022-01-10 13:00:00ORD,2022-01-10 16:00:00SYR,ORD,2022-01-10 13:00:00,18.0,4.3,-2.7,39.32,0.0,0,,0.0,1.33,25.3,13.6,304.0,1033.9,0.0,9.9,191,0.7,2,10.0,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-10 16:00:00,20.9,5.5,6.1,52.3,0.0,0,snow,0.04,1.61,31.2,19.7,240.0,1018.8,28.7,9.6,82,0.3,1,10.0,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,AA,PT,6235,ORD,SYR,2135.0,77.0,0,0,N,607,0.0,40.0,37.0,0,,2022-01-10 17:30:00,2022-01-10 20:18:00,2022-01-10 18:00:00ORD,2022-01-10 20:00:00SYR,ORD,2022-01-10 18:00:00,10.9,-2.8,-9.4,38.8,0.0,0,,0.0,1.33,17.2,10.5,300.0,1036.8,18.0,9.9,0,0.0,0,10.0,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-10 20:00:00,19.0,1.4,5.4,54.88,0.0,0,snow,0.04,1.76,34.4,24.5,261.0,1020.3,100.0,9.4,0,0.0,0,10.0,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,UA,OO,5412,ORD,SYR,1419.0,,0,1,N,607,,,,1,,2022-01-10 17:55:00,2022-01-10 20:52:00,2022-01-10 18:00:00ORD,2022-01-10 21:00:00SYR,ORD,2022-01-10 18:00:00,10.9,-2.8,-9.4,38.8,0.0,0,,0.0,1.33,17.2,10.5,300.0,1036.8,18.0,9.9,0,0.0,0,10.0,Clear,clear-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK",SYR,2022-01-10 21:00:00,17.0,3.4,14.8,90.91,0.009,100,snow,0.04,1.8,29.6,12.9,282.0,1021.2,100.0,0.7,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,116,JFK,SYR,1049.0,6.0,0,0,N,209,,,,0,,2022-01-10 09:25:00,2022-01-10 10:43:00,2022-01-10 09:00:00JFK,2022-01-10 11:00:00SYR,JFK,2022-01-10 09:00:00,28.6,18.5,9.1,43.36,0.0,0,,0.0,0.91,27.3,12.1,303.0,1021.2,13.4,9.9,105,0.4,1,10.0,Clear,clear-day,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-10 11:00:00,21.7,4.9,9.1,57.93,0.0,0,snow,0.04,1.42,33.3,24.8,260.0,1020.6,52.7,9.8,224,0.8,2,,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,B6,B6,2516,JFK,SYR,26.0,72.0,0,0,N,209,0.0,55.0,0.0,0,,2022-01-10 21:59:00,2022-01-10 23:14:00,2022-01-10 22:00:00JFK,2022-01-10 23:00:00SYR,JFK,2022-01-10 22:00:00,26.6,16.9,8.7,46.27,0.0,0,,0.0,0.71,20.6,10.2,273.0,1020.7,7.2,9.9,0,0.0,0,10.0,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732",SYR,2022-01-10 23:00:00,15.0,2.3,8.6,75.12,0.011,100,snow,0.04,1.87,21.4,10.6,310.0,1023.6,100.0,3.2,0,0.0,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
1,B6,B6,656,MCO,SYR,2000.0,60.0,0,0,N,1053,0.0,0.0,0.0,0,,2022-01-10 16:17:00,2022-01-10 19:00:00,2022-01-10 16:00:00MCO,2022-01-10 19:00:00SYR,MCO,2022-01-10 16:00:00,72.3,72.3,66.0,80.71,0.0,0,,0.0,0.0,11.4,12.2,59.0,1021.3,96.6,9.9,83,0.3,1,30.0,Overcast,cloudy,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO",SYR,2022-01-10 19:00:00,19.1,3.2,3.9,50.97,0.0,0,snow,0.04,1.72,34.1,19.5,251.0,1019.8,51.7,9.8,0,0.0,0,10.0,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,KFZY,72519664775,KRME"
1,DL,9E,5446,JFK,SYR,1340.0,-5.0,0,0,N,209,,,,0,,2022-01-10 12:30:00,2022-01-10 13:45:00,2022-01-10 12:00:00JFK,2022-01-10 14:00:00SYR,JFK,2022-01-10 12:00:00,29.3,19.5,6.9,38.24,0.0,0,,0.0,0.87,19.9,11.6,278.0,1020.8,33.2,9.9,500,1.8,5,10.0,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,F1417,KNYC,72503014732",SYR,2022-01-10 14:00:00,21.8,4.8,7.1,52.54,0.0,0,snow,0.04,1.54,33.1,25.9,241.0,1018.7,89.2,9.9,312,1.1,3,10.0,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,OO,5392,ORD,SYR,1354.0,17.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-10 10:45:00,2022-01-10 13:37:00,2022-01-10 11:00:00ORD,2022-01-10 14:00:00SYR,ORD,2022-01-10 11:00:00,18.0,4.6,-1.6,41.32,0.0,0,,0.0,1.33,23.0,13.0,311.0,1034.2,18.0,9.9,323,1.2,3,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-10 14:00:00,21.8,4.8,7.1,52.54,0.0,0,snow,0.04,1.54,33.1,25.9,241.0,1018.7,89.2,9.9,312,1.1,3,10.0,Partially cloudy,partly-cloudy-day,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,UA,G7,4576,ORD,SYR,1700.0,-21.0,0,0,N,607,,,,0,,2022-01-10 14:30:00,2022-01-10 17:21:00,2022-01-10 14:00:00ORD,2022-01-10 17:00:00SYR,ORD,2022-01-10 14:00:00,17.3,2.8,-4.6,36.85,0.0,0,,0.0,1.33,21.9,15.0,329.0,1033.7,0.0,9.9,235,0.8,2,10.0,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-10 17:00:00,19.9,5.2,6.0,54.12,0.0,0,snow,0.04,1.65,27.6,17.1,240.0,1019.0,28.1,9.9,13,0.0,0,10.0,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
1,AA,OO,3253,ORD,SYR,1744.0,133.0,0,0,N,607,0.0,0.0,133.0,0,,2022-01-17 12:40:00,2022-01-17 15:31:00,2022-01-17 13:00:00ORD,2022-01-17 16:00:00SYR,ORD,2022-01-17 13:00:00,29.4,17.6,17.9,61.62,0.0,0,,0.0,0.4,23.1,16.8,293.0,1011.2,100.0,9.9,118,0.4,1,10.0,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK",SYR,2022-01-17 16:00:00,28.0,17.4,21.8,77.4,0.006,100,snow,0.07,2.27,32.0,12.7,271.0,987.1,100.0,1.3,38,0.1,0,10.0,"Snow, Overcast",snow,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775"
